ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,Education_Per_10k,Education_z,Public_Safety_Per_10k,Public_Safety_z,Crime_Per_10k,Crime_z,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,crime_events_per_10k,crime_events_z,violent_crime_per_capita,violent_crime_per_10k,property_crime_per_capita,property_crime_per_10k
90250,93826,5,1,1,1,26,0.00159,0.000277109,5.3e-05,1.0549809316443663,2.77109,-0.3122540933996817,0.53,-0.10840334779067165,15.9,-0.07954425190070201,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90254,19063,2,1,1,0,5,0.0,0.000262288,0.000105,0.08958367459441834,2.62288,-0.3833856878956156,1.05,-0.07821440564806843,0.0,-0.08694945497590129,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90255,69349,4,1,1,1,34,0.00577,0.000490274,5.8e-05,1.4227513152824418,4.90274,0.71080550721605,0.58,-0.10550056489234443,57.7,-0.06007648532564984,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90260,32075,2,1,1,0,14,0.01836,0.000436477,6.2e-05,0.5033253561872532,4.36477,0.4526133211896175,0.62,-0.10317833857368264,183.60000000000002,-0.001440317579260633,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90262,64235,4,1,1,1,22,0.02262,0.000342492,6.2e-05,0.8710957398253285,3.42492,0.0015436964206847611,0.62,-0.10317833857368264,226.20000000000002,0.01840003782976383,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90263,1856,1,1,1,0,1,0.0,0.000538793,0.000539,-0.0943015172246194,5.38793,0.9436665714727277,5.39,0.1737471499267354,0.0,-0.08694945497590129,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90265,15918,9,1,1,3,9,0.01407,0.000565398,0.000565,0.27346886641345597,5.653980000000001,1.0713540467823781,5.6499999999999995,0.188841620998037,140.7,-0.021420393801024715,1.0,0.0,1.0,1.0,6.282196255811031e-05,0.6282196255811031,-0.5742673395276742,0.0,0.0,6.282196255811031e-05,0.6282196255811031
90266,34210,3,1,1,0,13,0.0,0.000380006,8.8e-05,0.4573540582324937,3.80006,0.18158759601723465,0.88,-0.08808386750238104,0.0,-0.08694945497590129,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90270,24218,1,1,1,0,7,0.01288,0.000289041,4.1e-05,0.1815262705039372,2.89041,-0.25498790451057257,0.41000000000000003,-0.11537002674665703,128.8,-0.026962652706362528,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90272,21390,2,0,0,0,10,0.0,0.000467508,9.4e-05,-0.6301198793958228,4.67508,0.6015428474566256,0.94,-0.08460052802438836,0.0,-0.08694945497590129,2925.0,382.0,2350.0,1851.0,0.13674614305750352,1367.4614305750351,-0.23442225347477208,0.01785881252921926,178.58812529219261,0.10986442262739599,1098.64422627396
90274,25059,4,1,1,0,16,0.00367,0.000638493,0.00016,0.595267952096772,6.38493,1.4221646465853797,1.6,-0.046283793766468864,36.7,-0.06985694221742246,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90275,40945,2,0,0,0,15,0.00574,0.000366345,4.9e-05,-0.40026338962202573,3.66345,0.11602328103113702,0.49,-0.11072557410933345,57.400000000000006,-0.06021620613838945,332.0,110.0,208.0,212.0,0.00810843814873611,81.0843814873611,-0.5542629739383939,0.0026865307119306385,26.865307119306383,0.0050799853461961164,50.79985346196116
90277,34844,3,1,1,1,10,0.0,0.000286993,8.6e-05,0.31944016436821543,2.8699299999999996,-0.2648170324727665,0.86,-0.08924498066171192,0.0,-0.08694945497590129,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90278,42423,1,0,0,0,10,2e-05,0.000235721,2.4e-05,-0.6301198793958228,2.35721,-0.5108907868075296,0.24000000000000002,-0.12523948860096962,0.2,-0.08685630776740821,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90280,91365,4,1,1,1,31,4e-05,0.000339298,4.4e-05,1.2848374214181633,3.3929799999999997,-0.013785519746916327,0.44,-0.11362835700766068,0.4,-0.08676316055891514,7.0,5.0,1.0,6.0,7.661577190390193e-05,0.7661577190390193,-0.5742330430364376,5.472555135992995e-05,0.5472555135992995,1.094511027198599e-05,0.1094511027198599
90290,6315,1,0,0,0,2,0.00586,0.000316706,0.000158,-0.9978902630338982,3.1670599999999998,-0.12221308757986546,1.5799999999999998,-0.04744490692579977,58.599999999999994,-0.05965732288743101,1.0,0.0,1.0,1.0,0.00015835312747426763,1.5835312747426762,-0.574029813861034,0.0,0.0,0.00015835312747426763,1.5835312747426762
90291,26324,1,0,0,0,7,0.00019,0.000265917,3.8e-05,-0.7680337732601009,2.65917,-0.36596874191182605,0.38,-0.11711169648565337,1.9000000000000001,-0.0860645564952171,12204.0,3385.0,8201.0,7919.0,0.4636073545053943,4636.073545053943,0.578275123513181,0.12858987995745327,1285.8987995745326,0.31154079927062756,3115.4079927062758
90292,23982,2,1,1,0,1,0.01897,4.16979e-05,8.3e-05,-0.0943015172246194,0.416979,-1.4420811566910763,0.83,-0.09098665040070827,189.70000000000002,0.0014006722797780787,4052.0,745.0,3154.0,2729.0,0.16896005337336337,1689.6005337336337,-0.15432660584422359,0.0310649653907097,310.649653907097,0.13151530314402468,1315.1530314402469
90301,36060,3,2,2,0,20,8e-05,0.000554631,8.3e-05,1.7287131876798478,5.54631,1.019679134297544,0.83,-0.09098665040070827,0.8,-0.086576866141929,33.0,3.0,28.0,17.0,0.0009151414309484193,9.151414309484192,-0.5721481593617309,8.319467554076539e-05,0.831946755407654,0.000776483638380477,7.76483638380477
90303,22727,2,1,1,0,5,4e-05,0.000220003,8.8e-05,0.08958367459441834,2.20003,-0.5863274241658111,0.88,-0.08808386750238104,0.4,-0.08676316055891514,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90304,25430,1,0,0,0,8,0.01125,0.000314589,3.9e-05,-0.7220624753053416,3.14589,-0.13237337268531663,0.39,-0.11653113990598792,112.5,-0.03455415019854795,47.0,2.0,43.0,27.0,0.00184821077467558,18.4821077467558,-0.569828205260001,7.864726700747149e-05,0.7864726700747149,0.001690916240660637,16.90916240660637
90305,14708,1,0,0,0,3,0.0,0.000203971,6.8e-05,-0.9519189650791388,2.03971,-0.6632710664948586,0.68,-0.09969499909568996,0.0,-0.08694945497590129,41.0,24.0,16.0,24.0,0.0027875985858036444,27.875985858036444,-0.567492541120789,0.0016317650258362796,16.317650258362796,0.0010878433505575197,10.878433505575197
90401,8101,5,3,3,1,3,0.00012,0.000370325,0.000617,1.8967611662129762,3.70325,0.13512480900454077,6.17,0.21903056314064026,1.2,-0.08639057172494286,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90404,22978,2,1,1,0,7,0.0003,0.000304639,8.7e-05,0.1815262705039372,3.04639,-0.180127192618826,0.87,-0.08866442408204647,2.9999999999999996,-0.0855522468485052,71.0,18.0,50.0,41.0,0.00308991208982505,30.899120898250498,-0.566740878387062,0.0007833579946035338,7.833579946035338,0.0021759944294542605,21.759944294542606
90405,27298,3,1,1,0,11,0.0,0.00040296,0.00011,0.3654114623229749,4.0296,0.29175253900756376,1.1,-0.07531162274974121,0.0,-0.08694945497590129,103.0,8.0,86.0,52.0,0.0037731701956187267,37.731701956187266,-0.5650420470453908,0.000293061762766503,2.93061762766503,0.0031504139497399077,31.504139497399077
90501,41787,1,0,0,0,14,0.00017,0.000335032,2.4e-05,-0.4462346875767851,3.3503199999999995,-0.03425967008222801,0.24000000000000002,-0.12523948860096962,1.7000000000000002,-0.08615770370371018,3160.0,989.0,1986.0,1792.0,0.07562160480532223,756.2160480532224,-0.3864003719156229,0.02366764783305813,236.6764783305813,0.04752674276688922,475.26742766889225
90502,18467,1,1,1,0,3,0.0117,0.000162452,5.4e-05,-0.002358921315100515,1.62452,-0.8625364785370071,0.5399999999999999,-0.10782279121100623,117.0,-0.03245833800745381,802.0,177.0,605.0,597.0,0.043428818974386746,434.28818974386746,-0.46644349629505755,0.009584664536741214,95.84664536741214,0.032761141495640876,327.61141495640874
90503,43454,4,1,1,1,15,7e-05,0.000345193,9.2e-05,0.5492966541420126,3.45193,0.014506818796605123,0.92,-0.08576164118371925,0.7,-0.08662343974617553,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90504,33084,2,0,0,0,11,0.0,0.000332487,6e-05,-0.5841485814410633,3.32487,-0.04647408935165307,0.6,-0.10433945173301354,0.0,-0.08694945497590129,5.0,3.0,2.0,3.0,0.0001511304558094547,1.5113045580945472,-0.5740477720833965,9.067827348567283e-05,0.9067827348567283,6.045218232378189e-05,0.6045218232378189
90505,35148,2,0,0,0,12,3e-05,0.000341413,5.7e-05,-0.538177283486304,3.41413,-0.0036348333992406324,0.5700000000000001,-0.10608112147200988,0.3,-0.08680973416316168,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90506,0,1,1,1,0,1,0.000245,0.00032704749999999997,6.35e-05,-0.0943015172246194,3.2704750000000002,-0.07258031081178627,0.635,-0.10230750370418448,2.45,-0.08580840167186114,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90601,30078,2,0,0,1,14,0.00229,0.000465456,6.6e-05,-0.4462346875767851,4.65456,0.5916945219788807,0.66,-0.10085611225502085,22.9,-0.07628409960344447,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90602,25905,3,1,1,1,3,0.00031,0.000115808,0.000116,-0.002358921315100515,1.15808,-1.0863987073790786,1.16,-0.07182828327174852,3.1,-0.08550567324425866,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90603,21118,1,0,0,0,4,5e-05,0.000189412,4.7e-05,-0.9059476671243792,1.89412,-0.7331452237221916,0.47,-0.11188668726866434,0.5,-0.08671658695466859,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90604,39276,2,0,0,0,13,0.0069,0.000330991,5.1e-05,-0.49220598553154454,3.30991,-0.053653960167786875,0.51,-0.10956446095000257,69.0,-0.05481366804579124,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90631,0,2,0,0,0,0,0.000245,0.00032704749999999997,6.35e-05,-1.089832858943417,3.2704750000000002,-0.07258031081178627,0.635,-0.10230750370418448,2.45,-0.08580840167186114,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90638,45933,3,1,1,0,14,0.01317,0.000304792,6.5e-05,0.5033253561872532,3.0479200000000004,-0.17939288764899405,0.6499999999999999,-0.10143666883468631,131.7,-0.025612018183212983,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90640,61382,6,2,2,1,20,0.00029,0.000325828,9.8e-05,1.7287131876798478,3.25828,-0.07843315336544597,0.98,-0.08227830170572657,2.9,-0.08559882045275174,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90650,99900,5,2,2,1,29,0.01553,0.00029029,5e-05,2.1424548692726826,2.9029000000000003,-0.24899348027972307,0.5,-0.110145017529668,155.3,-0.01462064758103041,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90660,60272,4,1,1,0,19,0.02167,0.000315238,6.6e-05,0.7331818459610502,3.1523800000000004,-0.12925857578714087,0.66,-0.10085611225502085,216.7,0.013975545426342868,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90670,17851,5,1,1,0,12,0.00011,0.000672231,0.00028,0.41138276027773424,6.72231,1.5840860915016353,2.8,0.023382995793384716,1.1,-0.08643714532918939,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
