,log_population,log_part_1_crime_count,crime_per_10k,crime_z,Count_Educational_Facility,education_facilities_z,Count_Public_Safety,public_safety_z,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,external_amenities_index,avg_landmark_distance_z,centrality_index,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM)
Count_Corrective_Facility,0.014412679289627509,0.0695547369201359,-0.0377717378425859,-0.03777173784258595,0.023850868448811447,0.023850868448811437,0.7186528556226073,0.7186528556226072,0.3347915276514652,0.3347915276514652,1.0,0.4480181504871249,0.1866123621545867,-0.1866123621545867,0.19914086270055542,0.16016974072628518,0.14106034654229782,0.16319902301850203,0.1596597637064178,0.15975525891902176,0.18169585605135058,0.17299302845369224,0.18517011173292827,0.14354517740958256,0.17551643960057084,0.15374376818194588,0.15128680992640317,0.14011961985175767,0.19046398299304712,0.17027997071447667,0.18958778050906888
external_amenities_index,0.3604713973464368,0.14668976061143993,0.02359420152643131,0.023594201526431324,0.5298944322354326,0.5298944322354326,0.7952375628285373,0.7952375628285376,0.9133598637740842,0.9133598637740842,0.4480181504871249,1.0,0.04578498890811954,-0.04578498890811954,0.017202572172069268,0.07494364744427945,0.07970812936154165,0.004166085786243766,0.07928758045842328,0.07927990137475291,0.04324653447517786,0.008824450221209802,0.00680699234870335,0.0882746128237459,0.06312892476904161,0.08167381021113114,0.07367686720120825,0.09765173546989567,-0.05331223508003722,0.05249632681647821,-0.054934093536608296
avg_landmark_distance_z,-0.15306554888196863,0.30409492624204376,0.1558581426673249,0.15585814266732498,-0.03558012916694096,-0.03558012916694101,0.2056252103987066,0.20562521039870685,-0.01286879253596573,-0.01286879253596573,0.1866123621545867,0.04578498890811954,1.0,-1.0,0.9214374255405756,0.9643714144411661,0.904608586920623,0.9377044102579088,0.9632854407026072,0.9635060395519197,0.9296245060336066,0.9577047679196523,0.9630090433925622,0.9166197814895393,0.9901066200287431,0.9021193135147488,0.9371971536840387,0.9048332892183957,0.5895607913727167,0.9151626044282676,0.5804544323535399
centrality_index,0.15306554888196863,-0.30409492624204376,-0.1558581426673249,-0.15585814266732498,0.03558012916694096,0.03558012916694101,-0.2056252103987066,-0.20562521039870685,0.01286879253596573,0.01286879253596573,-0.1866123621545867,-0.04578498890811954,-1.0,1.0,-0.9214374255405756,-0.9643714144411661,-0.904608586920623,-0.9377044102579088,-0.9632854407026072,-0.9635060395519197,-0.9296245060336066,-0.9577047679196523,-0.9630090433925622,-0.9166197814895393,-0.9901066200287431,-0.9021193135147488,-0.9371971536840387,-0.9048332892183957,-0.5895607913727167,-0.9151626044282676,-0.5804544323535399
LAX_Median_Distance_June_(KM),-0.13635059441312886,0.21440348259680397,0.10171571131944665,0.1017157113194467,-0.03869332002272256,-0.03869332002272251,0.17064313275360501,0.17064313275360535,-0.03886492799849322,-0.03886492799849322,0.19914086270055542,0.017202572172069268,0.9214374255405756,-0.9214374255405756,1.0,0.7966473586366296,0.6761209829669899,0.8138428070290429,0.8024033627357129,0.8031790613632437,0.9652009545643951,0.8560364441608258,0.9130537857194523,0.7047822643085163,0.89216200942664,0.8369095494175536,0.7343213906368263,0.7065358748058992,0.7477139035760442,0.9306798392580234,0.739395205954182
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),-0.1392691558700165,0.34336193893728645,0.1837218480315954,0.18372184803159555,-0.021244639248952417,-0.021244639248952306,0.2193776164048621,0.21937761640486222,0.01903914357008948,0.01903914357008948,0.16016974072628518,0.07494364744427945,0.9643714144411661,-0.9643714144411661,0.7966473586366296,1.0,0.9796673949674634,0.9155030773030407,0.9984843288720333,0.9984061237806944,0.8480233222913436,0.9240899853129133,0.8981842873393211,0.9875403115455479,0.9807353112559303,0.900827369312528,0.9923105866379953,0.9765908847149718,0.38468046247051796,0.8537979291576121,0.3750140867136803
Griffith_Park_Median_Distance_June_(KM),-0.1307485300225725,0.344214197484879,0.19086353513583154,0.1908635351358316,-0.01867707363827331,-0.018677073638273214,0.21390879240019153,0.21390879240019162,0.02799824303622392,0.02799824303622392,0.14106034654229782,0.07970812936154165,0.904608586920623,-0.904608586920623,0.6761209829669899,0.9796673949674634,1.0,0.8924052870436692,0.9730574193791619,0.972645566636267,0.73689061210155,0.8861719057978993,0.8354428105332387,0.9940392048893522,0.9238504517512358,0.8298162482194597,0.9957989481100069,0.9734559056304046,0.2759403626663731,0.7495848757065644,0.2669031351065672
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),-0.17483694212571896,0.22213874275634085,0.10163586674159049,0.10163586674159054,-0.11115991144841314,-0.11115991144841318,0.18979705289784257,0.18979705289784288,-0.03275312839375362,-0.03275312839375362,0.16319902301850203,0.004166085786243766,0.9377044102579088,-0.9377044102579088,0.8138428070290429,0.9155030773030407,0.8924052870436692,1.0,0.8962452794390471,0.8959814888824342,0.7671241981748096,0.9964375408511518,0.9764108615957816,0.8683770643718811,0.9113540484317492,0.7181740948236319,0.9201728445323645,0.8168153271958188,0.6320629407413912,0.7326493879341884,0.6255972359359108
TCL_Chinese_Theater_Median_Distance_June_(KM),-0.13514020235395544,0.3507916386581694,0.1881294541213971,0.18812945412139725,-0.011804085358551616,-0.011804085358551547,0.21862428674530124,0.2186242867453013,0.02154124783143996,0.02154124783143996,0.1596597637064178,0.07928758045842328,0.9632854407026072,-0.9632854407026072,0.8024033627357129,0.9984843288720333,0.9730574193791619,0.8962452794390471,1.0,0.9999983065239294,0.8634440071113578,0.9082611645533125,0.8859385803953156,0.9866848182648545,0.9835291188503943,0.9216225503390969,0.9859976289113943,0.982474025084795,0.36734780465852995,0.8730080768591137,0.3573309188294117
Madame_Tussauds_Median_Distance_June_(KM),-0.13510610204764847,0.35079637635519634,0.18808787126619736,0.18808787126619744,-0.011687428398663366,-0.011687428398663314,0.2185958702992109,0.2185958702992111,0.02148502590799383,0.02148502590799383,0.15975525891902176,0.07927990137475291,0.9635060395519197,-0.9635060395519197,0.8031790613632437,0.9984061237806944,0.972645566636267,0.8959814888824342,0.9999983065239294,1.0,0.8642731510426531,0.9081409695339219,0.8860448629403239,0.986437698706675,0.9837727593151325,0.922227175958237,0.9856983376562829,0.9823842173844775,0.3678064753063014,0.8738372722392517,0.35778235097772887
