ZIP_CODE,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM),log_median_price_june,log_population,log_part_1_crime_count,crime_per_10k,crime_z,education_facilities_z,public_safety_z,external_amenities_index,avg_landmark_distance_z,centrality_index
90704,3421.0,48.0,0.01403099,1.0,4.0,1.0,1.0,0.0,256.0,0.07483192,599.5,623.0,222.5,377.0,0.0,67.07859382,84.31333191,88.24356762,79.23864885,84.36718554,84.34062746,72.94071561,77.98771773,74.88322945,87.92571167,80.15394444,82.80304048,86.20874357,88.39732115,48.03315827,75.7708676,47.22925497,259,0.075708857,67.11072267,6.396095974467569,8.137980454452139,3.8918202981106265,140.3099,0.9728881504595448,-1.6766166164536542,0.7626935242188175,0.043356488968295026,3.0325132674912565,-3.0325132674912565
90706,76819.0,1516.0,0.0197347,17.0,3.0,1.0,1.0,0.0,81.0,0.001054427,140.0,180.5,261.0,67.0,0.0,26.39203787,30.4068524,32.15865464,22.08579042,31.20563724,31.20951079,33.18315563,21.94928351,20.60324359,33.15385832,28.90900841,38.13536061,30.6786303,35.13768026,14.92015794,36.21889931,15.54499295,82,0.001067444,26.2712633,4.941642422609304,11.249220301899896,7.324489979348532,197.347,1.6016430402468718,0.6150940800482668,0.190004351647495,0.4731118699509447,0.01586974083934161,-0.01586974083934161
90710,26761.0,75.0,0.00280259,8.0,1.0,0.0,0.0,0.0,61.0,0.002279436,64.5,167.0,0.0,55.0,8.0,19.44149092,34.38473059,38.1886814,29.29943515,34.546748,34.5240327,26.8184723,27.96954262,24.82162914,37.96055922,30.52976771,35.46738518,36.16549447,38.65766252,10.30505934,30.13280367,11.22366515,65,0.002428908,19.44149092,4.1666652238017265,10.194738249864933,4.330733340286331,28.025900000000004,-0.2648871579779495,-0.6739931867340637,-0.9553739934951502,-0.8280423196229052,0.0848341642600732,-0.0848341642600732
90712,30800.0,981.0,0.03185065,12.0,3.0,1.0,1.0,0.0,31.0,0.001006494,119.0,131.0,0.0,87.0,0.0,26.09222238,32.26038991,34.3100726,24.18575264,32.95028882,32.95169016,33.34958243,23.89008494,22.22894439,35.12091897,30.339579,39.03464383,32.70081773,36.99396214,10.61279202,36.49491113,11.39547549,33,0.001071429,26.19543367,4.77912349311153,10.335302435967074,6.889591308354466,318.5065,2.9372584216247404,-0.10106551260858351,0.190004351647495,0.29407197178673206,0.072137112264555,-0.072137112264555
90713,28221.0,291.0,0.01031147,8.0,1.0,0.0,0.0,0.0,25.0,0.000885865,125.0,166.0,0.0,64.0,0.0,29.35916169,34.43297612,36.14441064,26.03539537,35.26725669,35.27024798,36.6915061,25.96323989,24.62603004,37.13446041,32.89415646,42.05591872,34.62947229,39.15482601,12.28028408,39.85804124,12.59542518,21,0.000744127,29.35916169,4.8283137373023015,10.247857094617705,5.676753802268282,103.1147,0.5628626779755374,-0.6739931867340637,-0.9553739934951502,-0.8280423196229052,0.2169984865884168,-0.2169984865884168
90716,13599.0,243.0,0.01786896,3.0,1.0,0.0,0.0,0.0,10.0,0.000735348,152.5,167.5,0.0,55.0,150.0,33.50081001,38.44000171,39.98871059,29.95828787,39.28408111,39.28744717,40.79572516,29.96075413,28.73004834,41.09632392,37.04076636,46.21901421,38.57585437,43.15519189,13.38782673,43.94091312,13.45338969,8,0.000588279,33.56732942,5.0271645960474665,9.517825071724143,5.497168225293202,178.68959999999998,1.395971091976043,-1.390152779390914,-0.9553739934951502,-1.0070822177871177,0.4486681494573623,-0.4486681494573623
90717,21482.0,366.0,0.01703752,6.0,2.0,1.0,1.0,0.0,33.0,0.00153617,106.0,136.0,0.0,69.5,0.0,18.74271929,34.57130431,38.51823293,29.89376936,34.6672375,34.64243336,25.96986674,28.48020471,25.24390016,38.17665071,30.54041616,34.86956964,36.47121241,38.7444164,11.83348879,29.25962447,12.74944963,34,0.00158272,18.76947164,4.663439094112067,9.97501720367505,5.905361848054571,170.3752,1.3043163680218492,-0.9604570237968039,-0.38268482092382755,-0.06394819915315364,0.09186627875575255,-0.09186627875575255
90723,52050.0,1280.0,0.02459174,21.0,2.0,1.0,1.0,0.0,26.0,0.00049952,97.0,176.5,0.0,64.5,0.0,23.6228725,27.66905918,29.51650709,19.39953429,28.4778748,28.47987762,30.5205212,19.22736644,17.84959061,30.45507621,26.10717499,35.26249168,27.98490043,32.4003892,15.40390717,33.52327267,16.24477141,24,0.000461095,23.6228725,4.574710978503383,10.85997928615443,7.155396301896734,245.91740000000001,2.1370643098928808,1.188021754173747,-0.38268482092382755,0.47317149533948405,-0.1338767632134567,0.1338767632134567
90731,61944.0,21.0,0.00033902,16.0,10.0,2.0,2.0,2.0,126.0,0.002034095,138.0,143.5,0.0,89.0,0.0,26.36776493,41.79745633,45.62557731,36.65190327,41.94813841,41.92503105,33.49470535,35.37240997,32.25309083,45.38239675,37.9057803,42.50361253,43.60137801,46.05443508,9.87366256,36.74506856,10.06466573,127,0.002050239,26.36027825,4.927253685157205,11.034002173549839,3.091042453358316,3.3902,-0.5364615689899689,0.4718621615168967,4.198828559646754,2.1320477289105226,0.48741225746291417,-0.48741225746291417
90732,23067.0,11.0,0.00047687,6.0,1.0,0.0,0.0,0.0,32.0,0.001387263,139.0,157.5,0.0,70.5,0.0,24.51447739,40.21915698,44.06828823,35.15265218,40.35384081,40.33013729,31.59128939,33.83994366,30.70470681,43.80578743,36.2846005,40.66686099,42.03836652,44.45043826,10.59208977,34.83612712,11.01750789,38,0.001647375,24.55879113,4.9344739331306915,10.046201654735302,2.4849066497880004,4.7687,-0.5212655191281801,-0.9604570237968039,-0.9553739934951502,-0.8996582788885902,0.39909137012729173,-0.39909137012729173
90744,52800.0,10.0,0.00018939,14.0,2.0,0.0,0.0,0.0,15.0,0.000284091,77.0,75.0,104.0,56.0,0.0,22.30054593,36.4884663,40.10531594,30.89276934,36.72540055,36.7050838,29.83108392,29.68803976,26.68607258,40.01881001,32.83445688,38.21390346,38.11876771,40.86821811,7.497076316,33.1686037,8.344616939,16,0.00030303,22.53662581,4.343805421853684,10.874285408908944,2.3978952727983707,1.8939,-0.5529562004068672,0.1853983244541566,-0.38268482092382755,-0.47002214868301945,0.19740410012275827,-0.19740410012275827
90745,57397.0,998.0,0.01738767,17.0,2.0,1.0,1.0,0.0,85.0,0.001480914,97.0,121.5,0.0,56.0,0.0,18.18878456,30.88968941,34.4296084,25.16457138,31.17745255,31.15899054,25.8105507,23.96427487,21.01216107,34.38890846,27.47930879,33.66614865,32.449769,35.3349887,9.979679963,29.14911405,11.11954907,84,0.001463491,18.18242001,4.574710978503383,10.957764738495044,6.906754778648554,173.8767,1.3429155472681702,0.6150940800482668,-0.38268482092382755,0.32993957680811403,-0.08163013250909253,0.08163013250909253
90746,27091.0,459.0,0.0169429,10.0,3.0,1.0,1.0,0.0,62.0,0.002288583,112.0,143.0,0.0,74.0,0.0,17.13874754,28.24669146,31.49852836,21.89179601,28.61851849,28.60307045,24.72501598,20.86680442,18.15221764,31.6487084,25.0330538,31.87418534,29.58823489,32.78518379,11.74483886,28.00796028,12.90629626,59,0.002177845,17.15867491,4.718498871295094,10.206993760334795,6.131226489483141,169.429,1.2938858258533876,-0.38752934967132363,0.190004351647495,0.22245601252104705,-0.2036632350503636,0.2036632350503636
90755,11521.0,1.0,8.68e-05,4.0,3.0,1.0,1.0,1.0,40.0,0.003471921,147.0,173.0,0.0,79.0,0.0,27.92990658,37.14547478,39.72082554,29.67237226,37.7374818,37.73005903,35.52720484,29.08470938,26.93339725,40.2975474,34.66409641,42.43357326,37.99017726,41.84993464,4.836804113,38.82737564,5.333002352,41,0.003558719,27.95974912,4.990432586778736,9.352013530292329,0.6931471805599453,0.868,-0.5642653244933447,-1.246920860859544,0.190004351647495,0.007608134723991966,0.2794186192893776,-0.2794186192893776
90802,40434.0,3.0,7.419e-05,7.0,9.0,2.0,2.0,1.0,541.0,0.013379829,152.0,149.0,329.0,96.0,36.0,28.44735896,39.32976992,42.18971173,32.25059781,39.8386744,39.82761737,36.07596955,31.51499217,29.1129143,42.59667733,36.50257933,43.60382114,40.37289321,43.98541072,1.370937076,39.41160454,1.959791391,539,0.013330366,28.44735896,5.0238805208462765,10.607451025529922,1.3862943611198906,0.7419000000000001,-0.5656554020323882,-0.8172251052654338,3.6261393870754306,1.6666036190721094,0.36277914949505785,-0.36277914949505785
