ZIP_Code,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM)
90023,43857,141,0.00321499,19,2,0,0,0,50,0.001140069,50,131,0,38,0,21.95631269,15.1050972,15.60169083,6.244868861,16.23381712,16.25300978,26.1004083,7.310058168,8.734552098,17.05057907,15.81895631,26.71723367,14.45112136,19.51631725,29.44471194,28.15771689,30.42112692,56,0.001276877,22.30984478
90024,51675,1,0.00001935,7,2,0,0,0,475,0.009192066,135,243,0,60,77,13.38185326,11.49867636,15.99294223,17.48435344,10.33805748,10.2904217,8.53474618,15.95531735,14.92401027,13.76898522,7.703747443,3.86981132,14.4882553,11.83011592,39.9870116,7.619165689,41.14790222,492,0.009521045,13.34771653
90025,46508,3,0.00006451,11,1,1,1,0,500,0.010750839,137,181.5,0,68.5,40,12.08765613,13.25217445,17.87865105,18.61811646,12.14575087,12.09806337,6.670364993,16.94143209,15.54601657,15.71707124,9.133336371,4.57122652,16.2765106,13.83785075,39.12286572,5.61264511,40.28103345,493,0.010600327,12.09187208
90026,62692,0,0,22,1,0,0,0,707,0.011277356,154,162,0,72,0,20.32920577,6.141605301,6.723038497,3.678482809,7.365934952,7.397016316,21.57423601,4.46573729,7.576512579,7.981941152,8.576745046,19.15514018,5.424027029,10.32025626,36.25909943,22.63319438,37.33462234,713,0.011373062,20.32845907
90027,46558,2,0.00004296,9,1,0,0,0,398,0.008548477,156.5,180,0,80,81,21.12212635,3.741796674,3.843437717,6.872601716,5.004047588,5.041911258,21.38907438,7.180988169,9.774885644,4.538416936,7.849893948,17.48714467,2.249827306,6.991275416,39.03152022,22.01504001,40.13499443,425,0.009128399,21.0688666
90028,32883,2,0.00006082,16,4,1,1,1,987,0.03001551,169,184.5,255,76.5,24.5,19.03871171,0.989987773,5.341601442,9.323018771,0.841549197,0.841642492,17.90669947,8.810345809,10.27872301,3.899171684,4.735236392,13.15817077,3.626711484,4.72991587,39.66948757,18.15144749,40.80092866,1045,0.031779339,19.06385123
90029,33303,10,0.00030027,7,1,0,0,0,257,0.007717022,122,140,0,73.5,42.5,19.71375115,3.460870073,5.185356295,5.708099574,4.749180893,4.782937681,20.08553305,5.796310942,8.353055133,5.638135026,6.63536002,16.88629539,3.351529699,7.743809794,37.65048816,20.88750068,38.76190283,267,0.008017296,19.72276539
90031,36127,0,0,18,1,0,0,0,96,0.002657292,102,164.5,0,50,0,23.92033243,11.23797753,10.19511223,4.788165301,12.54106907,12.57412188,26.24536592,6.753410239,9.959158128,12.08699491,13.69552159,24.48183784,9.573938208,14.89539046,35.31294683,27.60607711,36.31896203,101,0.002795693,23.96739599
90032,43117,6,0.00013916,15,3,1,1,0,113,0.002620776,106,129,0,60,0,26.10082065,14.05266086,12.48584844,7.065273437,15.36215445,15.39738989,28.70432084,9.018965812,12.10128904,14.61521013,16.51764272,27.26590985,12.21651985,17.51215576,35.76836481,30.16556032,36.7421644,115,0.002667161,26.0967148
90033,45647,48,0.00105155,21,4,2,2,1,58,0.00127062,89,113,0,65,0,21.67486113,12.26507595,12.54845769,3.697239767,13.4466442,13.46947031,24.93146951,5.239581631,7.743412118,14.06537728,13.55380194,24.50403414,11.46361282,16.5641855,31.87694466,26.67293554,32.90634459,72,0.001577322,21.74400713
90034,57075,2,0.00003504,14,1,0,0,0,408,0.007148489,115,135,0,60,0,9.61466842,10.43676558,15.34302139,13.90164069,9.726054425,9.682428235,8.167945042,12.11497936,10.40293114,13.71281712,5.474227019,8.924641192,13.42023646,12.91042328,35.05380398,9.355146848,36.21461319,420,0.007358739,9.627533524
90035,29000,1,0.00003448,16,1,0,0,0,420,0.014482759,140,152.5,323,84,0,12.6779962,7.170727682,12.07042339,12.16425019,6.418056643,6.3748895,11.27816664,10.60979021,9.810077038,10.38628484,2.511626658,8.912880134,10.17940135,9.70392848,36.91753291,11.83100461,38.07804521,435,0.015,12.68754541
90036,39278,0,0,13,1,0,0,0,511,0.013009827,184,208,0,94,27,15.0697006,4.241841609,9.088483596,9.498270176,3.807602054,3.778263361,14.45425101,8.254881825,8.474369488,7.736087091,1.185958778,11.42047747,7.12744593,7.69715654,37.03585154,15.0497352,38.18454813,488,0.012424258,15.06963186
90037,65482,1,0.00001527,15,1,0,0,0,155,0.002367063,73,169,0,45,20,13.09558102,11.09657344,14.43446755,6.569154527,11.64784093,11.64015461,16.71246292,4.673987678,1.364946516,14.45303069,8.935662855,18.72400386,12.45783352,15.7705756,28.58342788,18.89247266,29.70945915,155,0.002367063,13.09601226
90038,27127,14,0.00051609,8,1,0,0,0,478,0.017620821,160,179,0,88,44,17.91267874,1.749274925,6.292464043,8.653892695,1.751072556,1.745611597,17.14674045,7.931477458,9.228164631,5.060476975,3.720564999,13.07549786,4.328997855,5.801372196,38.53941352,17.54628488,39.67542638,458,0.016883548,17.91267874
90040,11430,887,0.0776028,3,5,0,0,1,60,0.005249344,39,229,0,39,34,22.86636891,17.53423432,18.18342796,8.643737353,18.63333208,18.65060583,27.53394779,9.486329694,10.36939168,19.59335443,17.9434789,28.7411828,16.99886901,22.00828274,27.29158979,29.7484421,28.24555587,16,0.001399825,23.94801116
90041,27920,0,0,9,2,0,0,0,134,0.004799427,148,152,0,90,0,28.46193596,11.42248472,7.69464562,10.0353715,12.64380474,12.68986727,29.25769973,11.77612864,15.23609202,10.20659891,15.72179355,25.16469356,8.564013488,13.13823085,41.6185151,29.90719508,42.62119693,135,0.004835244,28.44848456
90043,42377,223,0.00526229,23,1,0,0,0,360,0.008495174,125.5,158,0,52.5,0,8.56766812,12.49039943,16.77971164,10.74244607,12.46976919,12.44196123,12.53837074,8.795127552,5.602429525,16.12368863,8.343099207,15.8449911,14.69102246,16.51137204,28.72168268,14.92754021,29.88111267,339,0.007999622,8.592154361
90044,94830,746,0.00786671,26,1,0,0,0,148,0.001560688,94,146,0,53,26.5,11.09914717,17.16189329,20.69473218,11.99082379,17.5095433,17.49361453,17.29104005,10.49550285,7.296007711,20.63698898,14.03291024,22.13938631,18.69960221,21.67533072,22.68501634,20.17568882,23.83312017,128,0.001349784,11.0719359
90045,41786,41,0.00098119,19,5,1,1,0,255,0.006102522,164,176,187,76,0,2.769200019,16.8513671,21.59999385,16.85542087,16.45280167,16.41725646,8.308632646,14.88880809,11.73141372,20.40695363,11.99667822,15.02213891,19.52931127,20.12446426,28.57643872,11.40123902,29.73035016,232,0.005552099,3.009548408
90046,48296,361,0.00747474,10,3,0,0,0,1630,0.033750207,204,221.5,262,95,0,17.74018431,2.660579617,7.121565061,10.56645516,1.552502788,1.507989345,16.25006515,9.810516524,10.74693976,5.280289647,3.464523768,11.3633345,5.545312597,4.93117785,39.69432563,16.35599052,40.84138851,1613,0.033398211,17.74013603
90047,50974,278,0.00545376,25,2,0,0,0,182,0.003570448,142,165,0,74,0,9.560499065,17.03953162,20.83927381,12.56061573,17.26614503,17.24638286,15.62743535,10.93116125,7.599655617,20.60113438,13.48729092,20.92096614,18.80206409,21.4155433,23.36663963,18.49572479,24.52493298,172,0.003374269,9.538835342
90056,8543,181,0.02118694,1,1,0,0,0,104,0.012173709,192,199,0,120,0,6.057820213,13.46601872,18.14317034,13.47649599,13.21964846,13.18771665,9.307255388,11.50626744,8.604280881,17.08507312,8.844380615,14.05586566,16.05862259,17.08963164,29.54949233,11.91382516,30.71156232,97,0.011354325,5.965702277
90057,46629,1,0.00002145,9,2,1,1,0,76,0.001629887,97.5,131,0,48.5,14.5,18.15214096,6.169942089,8.395278673,3.027519383,7.139084825,7.152492767,19.70002052,2.327056386,5.282821504,8.978893451,7.129835296,18.04727575,6.585036368,10.87185866,34.27088931,20.94295736,35.36791763,80,0.001715671,18.16522754
