ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita
90024,51675,2,0,0,0,7,2e-05,0.000135462,3.9e-05,-0.7680337732601009,-0.08685630776740821,-0.9920717147184561,6105.0,1146.0,4627.0,3620.0,0.1181422351233672,0.022177068214804065,0.08954039671020803
90025,46508,1,1,1,0,11,6e-05,0.000236518,2.2e-05,0.3654114623229749,-0.08667001335042207,-0.5070656818339612,13488.0,1916.0,11025.0,9293.0,0.29001462114044896,0.041197213382643844,0.23705599036724864
90026,62692,1,0,0,0,22,0.0,0.000350922,1.6e-05,-0.07846430393870969,-0.08694945497590129,0.0420024604447534,17254.0,3759.0,12661.0,11654.0,0.2752185286798954,0.05995980348369808,0.20195559242008548
90027,46558,1,0,0,0,9,4e-05,0.000193307,2.1e-05,-0.6760911773505822,-0.08676316055891514,-0.7144516429542499,13055.0,2844.0,9621.0,8368.0,0.28040293827054424,0.061085098157137335,0.20664547446196144
90028,32883,4,1,1,1,16,6e-05,0.000486574,0.000122,0.595267952096772,-0.08667001335042207,0.6930478053312275,24077.0,8035.0,14175.0,14556.0,0.7322020496913298,0.24435118450263055,0.43107380713438553
90029,33303,1,0,0,0,7,0.0003,0.000210191,3e-05,-0.7680337732601009,-0.0855522468485052,-0.6334189298128055,8035.0,2627.0,4939.0,4608.0,0.24126955529531874,0.07888178242200403,0.14830495751133532
90031,36127,1,0,0,0,18,0.0,0.000498242,2.8e-05,-0.2623494957577474,-0.08694945497590129,0.7490469581939599,7209.0,2189.0,4629.0,4356.0,0.19954604589365293,0.060591801145957316,0.1281313145292994
90032,43117,3,1,1,0,15,0.00014,0.000347891,7e-05,0.5492966541420126,-0.08629742451644977,0.02745554303586241,6516.0,2052.0,4019.0,3645.0,0.15112368671289747,0.04759143725212793,0.09321149430619013
90033,45647,4,2,2,1,21,0.00105,0.000460052,8.8e-05,1.7746844856346076,-0.08205922653001498,0.5657586784692642,11872.0,4276.0,6905.0,6794.0,0.2600828093850636,0.09367537844765264,0.1512695248318619
90034,57075,1,0,0,0,14,4e-05,0.000245291,1.8e-05,-0.4462346875767851,-0.08676316055891514,-0.4649607308513803,12101.0,2341.0,9210.0,8015.0,0.21201927288655278,0.04101620674551029,0.16136662286465178
